first_name,last_name,phone_number,email_address,address
Emily,Clark,1112223333,emily.clark@example.com,12 Elm St
Michael,Lee,2223334444,michael.lee@example.com,34 Oak Dr
Priya,Patel,3334445555,priya.patel@example.com,56 Maple Ave
Carlos,Gomez,4445556666,carlos.gomez@example.com,78 Pine Rd
Fatima,Khan,5556667777,fatima.khan@example.com,90 Cedar Ln
David,Nguyen,6667778888,david.nguyen@example.com,23 Birch Blvd
Sophia,Martinez,7778889999,sophia.martinez@example.com,45 Spruce Ct
Liam,Walker,8889990000,liam.walker@example.com,67 Willow Way
Olivia,Kim,9990001111,olivia.kim@example.com,89 Aspen Pl
Noah,Smith,1231231234,noah.smith@example.com,101 Redwood St 
